name,tagline,investors_name,address,industries,valuation,last_round,last_round_amount,date
LiveEO,LiveEO uses satellite data and machine learning algorithms to monitor infrastructure networks for external threats and forecast repercussions. The service detects changes to forecast dangers,MMC Ventures,"Berlin, Germany",energy oil & gas,€100-150m,SERIES B,€25m,2024.6
Sanity Group,Unlocking the potential of cannabinoids to develop innovative pharmaceuticals and well-being products,OrganiGram,"Berlin, Germany",health pharmaceutical,€150-226m,CONVERTIBLE,€12.33m,2024.6
Hive,"Service, software and operations out of one hand helps you manage your brand from sourcing to final delivery",Earlybird Venture Capital,"Berlin, Germany",transportation logistics & delivery,€145m,SERIES A,€18.2m,2024.6
Deepsafety,"We're building AiDAR™, a safe and certifiable Spatial AI Sensor to replace LiDAR at the price of a camera",,"Berlin, Germany",robotics mobility,,,,2024.6
Forward Earth,,Speedinvest,"Berlin, Germany",enterprise software,€8-12m,SEED,€2m,2024.6
Tilta,Building the technology that brings frictionless payment terms to B2B marketplaces and merchants,ff Venture Capital,"Berlin, Germany",fintech mortgages & lending,€16-24m,,,2024.6
ISS VOLL GESUND,,Sünderhauf Holding,"Berlin, Germany",,,,,2024.6
Mika,The AI co-pilot for small businesses,Samen Slimmer Alliance,"Berlin, Germany",,€3-5m,SEED,€0.8m,2024.6
Lillian Care,"Building a nationwide network of health facilities in Germany, aligning the growing challenges in medically underserved regions with the unique needs of modern healthcare professionals",Bjoern von Siemens,"Berlin, Germany",health,€6-9m,SEED,€1.5m,2024.6
Restate,Without worrying about distributed systems,Redpoint Ventures,"Berlin, Germany",,€28-42m,SEED,€7m,2024.6
MATEO,Helps local businesses grow by enabling an outstanding customer experience through messengers,Raakwark Kaptaal,"Berlin, Germany",media,,,,2024.6
Metiundo,Metiundo offers the measurement of the consumption of real estate for property managers and owners,EnPulse Ventures,"Berlin, Germany",energy,€4-6m,,,2024.6
Cardino,Online marketplace for used EVs,Point Nine,"Berlin, Germany","transportation search, buy & rent",€16-24m,SEED,€4m,2024.6
Moss,Development of software and software-based platforms to provide technical support for the provision of third-party payment services,Valar Ventures,"Berlin, Germany",fintech financial management solutions,€500m,,,2024.6
Tacalyx,Tacalyx develops therapeutics targeting cancer-specific carbohydrate antigens on the surface of metastatic malignant tumors where no satisfactory treatments exist,Creathor Ventures,"Berlin, Germany",health biotechnology,€28-42m,SEED,€7m,2024.6
Quantica,Quantica technology develops and manufactures 3d printers and parts,West Hill Capital,"Berlin, Germany",engineering and manufacturing equipment,€70m,SERIES A,€5.7m,2024.6
Mateo,,Brandenburg Kapital,"Berlin, Germany",,€4-6m,SEED,€1m,2024.6
LEMO,"Offers planning, production and development of WEB services, applications and sites specializing in new businesses",Joy Capital,"Berlin, Germany",,€40-60m,SEED,€10m,2024.6
M^ZERO Labs,M^ZERO Labs aims to develop a decentralized network enabling institutional participants to reliably link assets to a decentralized infrastructure,Earlybird Venture Capital,"Berlin, Germany",fintech crypto and defi,€140-210m,SERIES A,€35m,2024.6
Dive Solutions,"Providing engineers with particle-based simulation software that handles everything, requiring no installation or hardware, just pure engineering",D.E. Shaw Group,"Berlin, Germany",enterprise software,€40-60m,SERIES A,€10m,2024.6
Lemmofuture,Lemmo blends the joy of cycling simplicity with tech-driven.Taking light electric mirco mobility to a new level.Bring you a unique life experience,Joy Capital,"Berlin, Germany",sports,€40-60m,SEED,€10m,2024.6
Ecolocked,"Develops novel recipes for concrete and other building materials: CO2-optimized, lighter, more insulating, and with many other features that can be customized to different applications",VOYAGERS,"Berlin, Germany",real estate construction,€16-24m,SEED,€4m,2024.6
SLAY,"The company is developing a mobile app that allows users to anonymously answer questions about their friends. The questions are intended to make it possible to give honest compliments and thus bring positivity to the fore, especially among younger users",Riccardo Zacconi,"Berlin, Germany",,€20-30m,SEED,€5m,2024.6
re:cap,Creates a subscription economy financial marketplace,Project A,"Berlin, Germany",fintech mortgages & lending,€59-88m,SERIES A,€14.67m,2024.6
Captain T Cell,,Brandenburg Kapital,"Berlin, Germany",,€34-51m,SEED,€8.5m,2024.5
Signatrix,"Remaking Retail - Connecting with security cameras, we use Artificial Intelligence to analyse whatever is happening in retail stores",ITAB Germany,"Berlin, Germany",security,,,,2024.5
Seqana,Developer of satellite-based software for nature-based climate solutions to assess soil health. The company specializes in satellite-based monitoring of soil organic carbon (SOC),High-Tech Gründerfonds,"Berlin, Germany",food agritech,€8-13m,SEED,€2.1m,2024.5
Faircado,"AI-powered aggregator for second-hand shopping online that makes you save time, money and the planet",Accel,"Berlin, Germany",marketing ecommerce solutions,€12-18m,SEED,€3m,2024.5
Autovio,Digital concepts for driving schools,Coparion,"Berlin, Germany",education,€15-23m,EARLY VC,€3.8m,2024.5
Nowa,No-Code platform used to build professional cross-platform apps and web applications,Propeller,"Berlin, Jordan",enterprise software,,,,2024.5
2sync,2Sync's SDK enables room-independent House Scale Virtual Reality (VR) experiences,HPI Seed,"Potsdam, Germany",media,,,,2024.5
NeoCarbon,Reverses climate change by dramatically cutting costs of Direct Air Capture leveraging cooling towers around Europe,IBB,"Berlin, Germany",real estate,€13-19m,,,2024.5
CTRL-UP,Provides IT equipment rental and lifecycle management services for businesses,MBG Berlin-Brandenburg,"Berlin, Germany",enterprise software,€3-4m,SEED,€0.7m,2024.5
Rows,The spreadsheet with the best business data and APIs,Accel,"Berlin, Germany",enterprise software,€80m,LATE VC,€8m,2024.5
Heatle,"The easiest, fastest and most sustainable way to heat liquids",better ventures,"Berlin, Germany",home living,€15m,EARLY VC,€1m,2024.5
VENMATE,We bring the customer to the heart of your business,XDECK,"Berlin, Germany",legal,€2-4m,SEED,€0.6m,2024.5
Caeli Wind,Cloud-based intelligent platform that identifies wind potential areas and enables marketing,High-Tech Gründerfonds,"Berlin, Germany",energy clean energy,€44-66m,SERIES A,€11m,2024.5
hexafarms,AI-IoT-SaaS to make vertical indoor farming the norm for urban food production,Speedinvest,"Berlin, Germany",food agritech,€5-8m,SEED,€1.3m,2024.5
trawa,Developing solutions to enable companies to source electricity from solar and wind farms,Balderton Capital,"Berlin, Germany",energy clean energy,€40-60m,SEED,€10m,2024.5
everyone energy,"A 100% renewable, fair energy supply in which EVERYONE can make their individual contribution",High-Tech Gründerfonds,"Berlin, Germany",energy energy storage,€4-6m,SEED,€1m,2024.5
Novumstate,Smart property management,Holger Ballwanz,"Berlin, Germany",real estate real estate software,,,,2024.5
Tenac.io,Improving cardiovascular care through AI and precision medicine,,"Berlin, Germany",health health platform,,,,2024.4
Ellipsus,Ellipsus is a collaborative text editor and publishing platform that allows authors to co-create stories and share revenue from earnings based on their contributions,10 BOND,"Berlin, Germany",media publishing,,,,2024.4
Home,Property management platform for landlords,FJ Labs,"Cologne, Germany",real estate real estate software,€44-66m,,,2024.4
headful,Sales content management platform,,"Berlin, Germany",marketing,,SEED,€0.5m,2024.4
Ovom Care,Ovom redefines how reproductive care is brought to patients by combining modern in-person care with advanced AI-based technology,Ananda Impact Ventures,"Berlin, Germany",health,€19-29m,SEED,€4.8m,2024.4
Deltia,AI-based process analytics platform to increase productivity and quality in manual shop-floor processes,Nicolas Peters,"Berlin, Germany",enterprise software,€18-27m,SEED,€4.5m,2024.4
Terra One,Accelerating the expansion of renewable energy infrastructure to achieve climate neutrality starting with battery storage,Neosfer,"Berlin, Germany",energy energy storage,€30-45m,SEED,€7.5m,2024.4
Goodcarbon,The Investment & Trading Platform for Nature-based Solutions,468 Capital,"Berlin, Germany",fintech wealth management,€21-32m,EARLY VC,€5.25m,2024.4
Cultimate Foods,Creates a game-changing cultivated fat technology to provide alternative meats with authentic taste and texture,High-Tech Gründerfonds,"Berlin, Germany",food innovative food,€9-14m,SEED,€2.3m,2024.4
Parloa,Parloa develops an Enterprise Contact Center AI Platform for the next generation of customer service,Newion,"Berlin, Germany",marketing crm & sales,€247-370m,SERIES B,€61.7m,2024.4
Langdock,,General Catalyst Partners,"Berlin, Germany",enterprise software,€12-18m,SEED,€3m,2024.4
Pliant,"Fully digital card management and seamless accounting software integrations combined with high limits, premium card perks, and attractive cashbacks",Alstin Capital,"Berlin, Germany",fintech financial management solutions,€130m,SERIES A,€18m,2024.4
Cozero,Cozero‘s SaaS empowers companies to decarbonize and boost their business performance by integrating the dimension of CO2 performance into financial controlling,NewAlpha Asset Management,"Berlin, Germany",enterprise software,€26-39m,SERIES A,€6.5m,2024.4
FINLIUM,,Katrin Stark,"Berlin, Germany",fintech,€2-3m,SEED,€0.55m,2024.4
finmid,Enables software companies to integrate financial services into their product portfolio through a single API integration,Earlybird Venture Capital,"Berlin, Germany",fintech payments,€107m,SERIES A,€23m,2024.4
Torg,The world’s largest collection of products for the food and beverage industry,Connect Ventures,"Berlin, Germany",food food logistics & delivery,€11-16m,SEED,€2.7m,2024.4
a2zebra,An interactive dice game for elementary school children,Robert Maier,"Berlin, Germany",education,,,,2024.4
CryoTherapeutics,Cryotherapies to prevent heart attacks,KfW,"Potsdam, Germany",health medical devices,€62m,SERIES B,€8m,2024.4
Recare solutions,"Digital solution that optimizes the clinical pathways between hospitals, care providers and payers",,"Berlin, Germany",health logistics & delivery,€5-7m,SEED,€1.2m,2024.4
Flink,"High quality and organic groceries, delivered to your door in 10 minutes",REWE Group,"Berlin, Germany",food food logistics & delivery,€1000m,LATE VC,€100m,2024.4
Sensit!,Sensit! creates a state of the art user haptic experience,,"Potsdam, Germany",gaming,,,,2024.3
Midas,U.S. Treasuries on-chain,HV Capital,"Berlin, United States",,€35-52m,SEED,€8.75m,2024.3
CyberTide,CyberTide develops as yet undisclosed AI-supported software in the cybersecurity sector,Antler,"Berlin, Germany",security,€0-1m,SEED,€0.1m,2024.3
Datamonk,Berlin-based mobile targeting and analytics platform pioneering the application of Big Data analysis on mobile audience data,Antler,"Berlin, Germany",enterprise software,,GROWTH EQUITY VC,€0.1m,2024.3
enuncia.AI,,,"Berlin, Germany",,,SEED,€0.15m,2024.3
Clime,"Helps companies to build truly sustainable cultures and reduce their overall CO2-footprint by measuring, reducing and offsetting the CO2-footprint of all employees",,"Berlin, Germany",energy clean energy,€4-6m,SEED,€1m,2024.3
VerdantWave,,Founder One,"Berlin, Germany",energy,,,,2024.3
The Female Company,Empowering womanhood by building Europe's leading femcare platform from first period to menopause,Stefanie Giesinger,"Berlin, Germany",health health platform,,,,2024.3
CI HUB,CI HUB – The future of content integration and marketing automation,High-Tech Gründerfonds,"Potsdam, Germany",marketing ecommerce solutions,€4-6m,EARLY VC,€1m,2024.3
ELEMENT,"Technology company that offers custom-made, white-label product solutions for digital insurance",Mundi Ventures,"Berlin, Germany",fintech insurance,€200-300m,LATE VC,€50m,2024.3
Daato,Offers a holistic ESG management platform for enterprises of all sizes,IBB Ventures,"Berlin, Germany",enterprise software,€20-30m,SEED,€5m,2024.3
Dryad Networks,Ultra-early fire detection systems of wildfires as well as health and growth monitoring solutions for public and private forests,,"Berlin, Germany",security public safety,€52m,CONVERTIBLE,€5.6m,2024.3
Solaris,Banking-as-a-Service platform that enables other companies to offer their own financial services via APIs,SBI Group,"Kyiv, Ukraine",fintech banking,€1600m,SERIES F,€104.49m,2024.3
Enapi,"As an infrastructure layer company, ENAPI focuses on building the most secure, reliable, and scalable platform for stakeholder collaboration in the EV industry",Project A,"Berlin, Germany",transportation,€10-15m,SEED,€2.5m,2024.3
Cariqa,"EV Charging, Battery Monitoring & Routing in one app",,"Berlin, Germany",energy navigation & mapping,,,,2024.3
Quantistry,Developing the world's most intuitive computational chemistry platform,IBB Ventures,"Berlin, Germany",health,€12-18m,EARLY VC,€3m,2024.3
Frontnow,Enterprise-Grade AI Supercharging Customer Experience,Peak,"New York City, United States",marketing crm & sales,€15-23m,SEED,€3.8m,2024.3
Paraspot,Real estate platform that provides users with the same level of data as a personal visit to a property and its neighbourhood,ff Venture Capital,"Berlin, Germany",real estate real estate software,€5-8m,SEED,€1.3m,2024.3
INSRD,Adaptive coverage and risk solutions for dynamic businesses,Florian Huber,"Berlin, Germany",fintech insurance,€2-3m,SEED,€0.5m,2024.3
Razor,A new-age global consumer holding partnering with e-commerce merchants to acquire and scale winning brands,Presight Capital,"Berlin, Germany",marketing ecommerce solutions,€1700m,GROWTH EQUITY VC,€100m,2024.3
Fuchs & Eule,Independent energy renovation advisor for the residential building sector,SET Ventures,"Hoppegarten, Germany",real estate energy efficiency,,,,2024.3
SILX,,,"Berlin, Germany",,,SEED,€1.5m,2024.2
Libra,AI for the legal system of the future,Merantix,"Berlin, Germany",legal,,,,2024.2
ContentRadar,The AI-powered workspace for content creation,Vesna Capital,"Berlin, Germany",media content production,,,,2024.2
Caresyntax,Digital surgery platform that uses proprietary software and AI to deliver actionable insights to improve patient outcomes,Intel Capital,"Boston, United States",health health platform,€60-90m,SERIES C,€15m,2024.2
Scale Energy,,Antler,"Berlin, Germany",,€0-1m,SEED,€0.1m,2024.2
Figo Social,,Antler,"Berlin, Germany",,€0-1m,SEED,€0.1m,2024.2
Globout,,Antler,"Berlin, Germany",media social media,€0-1m,SEED,€0.1m,2024.2
Specialsitter,,BonVenture Management,"Oranienburg, Germany",fintech,€8-12m,EARLY VC,€2m,2024.2
ecoligo,Provides a fully financed solar-as-a-service solution for businesses in emerging markets,GAIA impact fund,"Berlin, Germany",fintech clean energy,€44-66m,EARLY VC,€11m,2024.2
Yendou,Site Relations Company for ClinOps teams,b2venture,"Berlin, Germany",health pharmaceutical,€5-8m,SEED,€1.3m,2024.2
Timeless,"Buy shares in exclusive assets such as rare sneakers, watches & luxury cars",Commerce and Ventures(SevenVentures),"Berlin, Germany",fintech wealth management,€60m,,,2024.2
DERMAGO,Strausberg-based company specializing in prescription dermatological products of natural origin,Companisto,"Strausberg, Germany",health,€6-10m,EARLY VC,€1.6m,2024.2
cakewalk,Seamless and fully automated solution to Identity Governance,,"Berlin, Germany",security data protection,€12-18m,,,2024.2
Monite,"Allows B2B brands embed Invoicing, AP Automation, Expense Management into their existing interface in 3-4 weeks",Valar Ventures,"Berlin, Germany",fintech financial management solutions,€25m,SEED,€5.57m,2024.2
Pacifico Biolabs,"Develops seafood alternatives that are significantly healthier and lower cost than any other, whilst providing realistic taste and texture through a unique biomass fermentation process",FoodLabs,"Berlin, Germany",food innovative food,€13-20m,SEED,€3.3m,2024.2
Plurality Network,"Plurality offers personalized web3 accounts, connecting users' social profiles and granting control over data sharing for tailored experiences or monetization",Outlier Ventures,"Berlin, Germany",media social media,,,,2024.2
Simplyblock,Offering high-performance storage software for database infrastructures,Johan Svensson,"Teltow, Germany",hosting,€11-16m,SEED,€2.75m,2024.2
Nuri,Building a blockchain banking experience that merges the crypto and fiat world,Blockchain Founders Fund,"Berlin, Germany",fintech crypto and defi,€0-1m,EARLY VC,€0.1m,2024.2
OBJECTS Manufacturing,Objects Manufacturing is a Berlin-based vinyl pressing plant focusing on high-quality production with sustainability at its core,,"Berlin, Germany",media,,,,2024.2
UseCodify,"Usecodify offers tailored software, web design, and digital marketing solutions for global businesses",,"Berlin, Germany",marketing ecommerce solutions,€0-0m,SEED,€0.01m,2024.2
TME Pharma,Developing novel therapies for treatment of the most aggressive cancers by acting on the tumor microenvironment (TME),,"Berlin, Germany",health biotechnology,€5m,PRIVATE PLACEMENT VC,€1.48m,2024.2
Dude Chem,Enables greener outsourcing of active pharmaceutical ingredients and their intermediates in order to transform the current pharma-chemical industry towards an environmentally benign sector,Vorwerk Ventures,"Berlin, Germany",health pharmaceutical,€26-39m,SEED,€6.5m,2024.2
promiseQ,"Provides a fully distributed, on-demand human verification service in real-time to enable AI companies to maximize the precision of their algorithms in production",ExtraVallis,"Amsterdam, Netherlands",security cloud & infrastructure,€4-6m,SEED,€1m,2024.2
Seedsight,,UPTEC – Science and Technology Park of University of Porto,"Berlin, Germany",,,,,2024.1
IAWY,,ULTRA.VC,"Berlin, Germany",,,,,2024.1
Parla,Parla - Your safe playground to master job interviews,ULTRA.VC,"Berlin, Germany",,,,,2024.1
Claro AI,We empower companies to build next-generation AI products that unlock real user connection | Claro AI,Antler,"Berlin, Germany",enterprise software,€0-1m,SEED,€0.1m,2024.1
Reteach,A hybrid learning platform for SME,,"Berlin, Germany",education,€6-9m,SEED,€1.5m,2024.1
Pretzel AI,"Pretzel: The AI-native, open-source alternative to Jupyter, solving longstanding issues. Collaborative, modern, AI-first, and fully open-source",Y Combinator,"Berlin, Germany",enterprise software,€2-3m,SEED,€0.5m,2024.1
Ucaneo,Cell-free Direct Air Capture technology leveraging a biocatalytic membrane to capture CO2 from the air,Grantham Foundation,"Berlin, Germany",energy,,,,2024.1
mixedbread ai,Mixedbread.ai provides instant access to cutting-edge embedding models. Access via API or our SDKs for seamless integration,System.One,"Berlin, Germany",enterprise software,,SEED,€0.86m,2024.1
ZukunftMoor,"Endorsing the re-wetting of drained peatlands, showcasing the economic feasibility of agriculture on wet peatlands",Expedite Ventures,"Berlin, Germany",food agritech,,,,2024.1
Kelvin Green,,Kamstrup,"Berlin, Germany",fintech,,,,2024.1
styleindi.com,"Styleindi, the scalp-first expert, is your ultimate destination for hair care",HEARTFELT_,"Berlin, Germany",wellness beauty,,,,2024.1
WAY,Do IT yourself: WAY is an IT management platform for SMEs,IBB Ventures,"Berlin, Germany",enterprise software,€5-7m,SEED,€1.2m,2024.1
Myosotis,A communication platform for the care sector,Mountain Partners,"Berlin, Germany",health health platform,€32-48m,SERIES A,€8m,2024.1
Freaks 4U Gaming,360°-marketing agency specialized in targeting PC and console gamers worldwide,NODWIN Gaming,"Berlin, Germany",gaming esports,€59m,LATE VC,€8m,2024.1
Akirolabs,Procurement strategies with value – akirolabs,High-Tech Gründerfonds,"Berlin, Germany",enterprise software,€20-30m,SEED,€5m,2024.1
Elucid,"Build and implement technology to assess, report, and mitigate risks to human health and livelihoods in global supply chains",UBS Optimus Foundation,"Berlin, Germany",health health platform,,,,2024.1
Ceezer,Digital-first carbon bank that gives companies access to and guidance through the complex voluntary carbon market,HV Capital,"Berlin, Germany",enterprise software,€41-62m,SERIES A,€10.3m,2024.1
deeploi,,Atomico,"Berlin, Germany",enterprise software,€26-39m,SEED,€6.5m,2024.1
Packmatic,The leading digital  platform for product packaging,HV Capital,"Berlin, Germany",enterprise software,€60-90m,SERIES A,€15m,2024.1
Kittl,"A website focused on graphic design with AI-powered vector and image generators, logo and quote creators, and background removers",Institutional Venture Partners,"Berlin, Germany",media content production,€144-216m,SERIES B,€36m,2024.1
Qdrant,Powering the next generation of AI applications with advanced and high-performant vector similarity search technology,Spark Capital,"Berlin, Germany",enterprise software,€103-154m,SERIES A,€25.7m,2024.1
GymBeam,Manufacturing  products of sports nutrition and functional food,Crowdberry,"Berlin, Germany",sports sport supplements,€24-36m,,,2024.1
Morressier,"A platform for early-stage research that provides comprehensive virtual and hybrid conference solutions, powerful data, analytics and new revenue opportunities",Molten Ventures,"Berlin, Germany",education learning tools and resources,€60-91m,SERIES B,€15.12m,2024.1
Vyld,"Produces radically sustainable, marine biodegradable and healthy period products from seaweed",European Union,"Berlin, Germany",health biotechnology,€4-6m,SEED,€1m,2024.1
Everphone,Lends and refurbishes phones for businesses,Jan Dzulko,"Berlin, Germany",consumer electronics,€156m,SERIES D,€21m,2024.1
Zeotap,Helps companies better understand their customers and predict behaviors to invest in more meaningful experiences,Jens Schulte Bockum,"Berlin, Germany",telecom crm & sales,€210m,,,2024.1
BEBIG Medical,BEBIG Medical is a global provider of radiation therapy products for cancer treatment,Cathay Capital,"Berlin, Germany",health,,GROWTH EQUITY VC,€15m,2024.1
Finoa,Digital Asset Financial Services for Professional Investors,Balderton Capital,"Potsdam, Germany",fintech crypto and defi,€100m,EARLY VC,€15m,2024.1
Gelato Network,A tool for developers to automate smart contract executions on Ethereum,IOSG Ventures,"Berlin, Germany",enterprise software,€44-66m,,,2024.1
Farmula,Herbal charcoal offers plenty of space for nutrients and biostimulants or highly potent water reservoirs as well as organic pesticides and fungicides,RootCamp - A SpinLab Incubator,"Berlin, Germany",food,,,,2023.12
GRID,"A data platform working with publishers, tournaments, and teams to leverage official data assets in esports",Avivo Capital,"Berlin, Germany",gaming esports,€7-11m,SERIES A,€1.8m,2023.12
SuperDuperDB,End-to-end framework to build and deploy AI applications on top of the data layer,Hetz Ventures,"Berlin, Germany",enterprise software,€7-10m,EARLY VC,€1.75m,2023.12
IKOSIA,"IKOSIA streamlines energy renovation, from creating renovation roadmaps to grant applications and project management",Zubi Labs,"Berlin, Germany",enterprise software,,SUPPORT PROGRAM,€0.3m,2023.12
Vara,Develops a breast cancer screening platform powered by AI,,"Berlin, Germany",health health platform,€32m,,,2023.12
ai|coustics,Pioneering innovative audio algorithms based on AI and Deep Learning models,,"Berlin, Germany",,,SEED,€2.1m,2023.12
Dlthub,DltHub is the creator of data load tool (dlt),,"Berlin, Germany",,€19-28m,SEED,€4.7m,2023.12
Enpal,Germany's online solar provider,Keppel Capital,"Berlin, Germany",energy energy providers,€2250m,LATE VC,€109m,2023.12
luca,Receiving updates from luca through email,HR Group,"Berlin, Germany",fintech payments,€120-180m,,,2023.12
VaRi Bioscience,,Aristo Pharma,"Berlin, Germany",,,,,2023.12
Ecoworks,Developed a process for improving the energy efficiency of existing homes,ISAI Ventures,"Berlin, Germany",real estate construction,€160-240m,EARLY VC,€40m,2023.12
Urban Sports Club,"Unlimited fitness, yoga, swimming, climbing, team sports, wellness, and more with just one membership",HV Capital,"Berlin, Germany",sports sport platform & application,€380-570m,LATE VC,€95m,2023.12
voilà (getvoila.com),"Experience fantastic food in your home. Prepared by chefs. Delivered throughout Germany. Simply unpack, serve - et voilà!",SevenAccelerator,"Berlin, Germany",food food logistics & delivery,€44m,MEDIA FOR EQUITY,€1m,2023.12
Mirror,"Mirror is developing a health management app that utilizes physical tests, wearable data, and personalized recommendations to assist users in managing aspects such as sleep, fitness, and nutrition",FoodLabs,"Berlin, Germany",health health platform,,,,2023.12
Lano,Compliance & Payroll for Global Teams,Atlantic Labs,"Berlin, Germany",fintech financial management solutions,€60-90m,,,2023.12
DiaMonTech,Blood sugar testing device,Moll family office,"Berlin, Germany",health medical devices,€39m,EARLY VC,€1m,2023.12
Montamo,Montamo's goal is to revolutionize traditional craftsmanship and to make a significant contribution to solving the shortage of skilled labor within the crafts industry,Project A,"Berlin, Germany",real estate construction,€8-13m,SEED,€2.1m,2023.12
