name,tagline,investors_name,address,industries,valuation,last_round,last_round_amount,date
Autarc,"Software for data collection, planning and installation of your heat pump orders",Kai Hansen,"Berlin, Germany",energy energy efficiency,,,,2023.12
Wandra,"Digital nomad-oriented software platform, initially centered around visa and logistics solutions",,"Berlin, Germany",travel,,CONVERTIBLE,€0.3m,2023.12
yoona.ai,B2B SaaS AI Solution,,"Berlin, Germany",fashion,€5m,SEED,€0.4m,2023.12
randevu.tech,Building a digital platform or marketplace? randevu infrastructure solves 100% of your tech problems,Earlybird Venture Capital,"Berlin, Germany",hosting,€1-2m,SEED,€0.33m,2023.12
Confio,,Neutron,"Berlin, Germany",,,,,2023.12
MilanoVice,A virtual restaurant franchise providing high-quality delivery food,Speedinvest,"Berlin, Germany",food food logistics & delivery,€33-50m,SERIES A,€8.34m,2023.12
One coworking,One Coworking | Try coworking today!,ExtraVallis,"Berlin, Germany",real estate,,,,2023.11
Beinsure,"Online magazine about how to save money in insurance, investments and crypto",,"Berlin, Germany",fintech publishing,,SEED,€0.25m,2023.11
Banxware,"Banxware’s technology enables platforms to offer embedded financing products to their merchants, convenient and easy to integrate. Banxware provides the full financing supply chain, including funds and end-to-end loan management",Force Over Mass Capital,"Berlin, Germany",fintech mortgages & lending,€60-90m,SERIES A,€15m,2023.11
Layla,Layla is an AI-powered travel planner,firstminute capital,"Berlin, Germany",travel booking & search,€12-18m,SEED,€3m,2023.11
Yepoda,A DTC K-Beauty brand developing sustainable and natural beauty products based on the latest trends and innovations from South Korea,JamJar Investments,"Berlin, Germany",wellness beauty,€6-9m,,,2023.11
Quazy Foods,"Unleashing the power of microalgae for broad-scale food applications, specifically for the development of healthy and sustainable functional ingredients for the better of people and planet �",ProVeg,"Berlin, Germany",food innovative food,€3-5m,SEED,€0.8m,2023.11
Agrimand,"Independent, neutral and digital tendering service for the agricultural industry",Osters & Voß,"Potsdam, Germany",food innovative food,€10m,,,2023.11
Fuxam,"Wir sind Fuxam ein junges, innovatives und nachhaltiges ED-Technologie Unternehmen. Wir entwickeln und vertreiben Softwarelösung für Bildungseinrichtungen und den E-Learning Bereich",,"Berlin, Germany",education learning tools and resources,€2-3m,SEED,€0.5m,2023.11
Seqstant,"Seqstant offers a comprehensive package for live analysis of pathogens, with a patent-pending adapter, user-friendly data uploader, and algorithms for real-time identification of pathogens, resistance genes, and quality metrics",SB21 - Saarbruecker21,"Teltow, Germany",health biotechnology,€7-11m,SEED,€1.8m,2023.11
Frieda Health,For peace during your menopause,Maximon,"Berlin, Germany",health health platform,€10-15m,EARLY VC,€2.5m,2023.11
Scenarium AI,,UVC Partners,"Berlin, Germany",,€6-10m,SEED,€1.6m,2023.11
Iqonic,"We are the number one software and AI development company to promote your website, shop or point of sales with digitization, personalization and scalable…",Brandenburg Kapital,"Berlin, Germany",wellness beauty,€4-6m,SEED,€1m,2023.11
Doctorly,Cutting edge digital practice management software for doctors,UNIQA Ventures,"Berlin, South Africa",health health platform,€50m,SERIES A,€7.2m,2023.11
PiNCAMP,A booking platform as well as an inspirational source for German and Swiss campers,ANWB,"Berlin, Germany",,€26-40m,EARLY VC,€6.6m,2023.11
Raus,Hospitality-tech startup that offers new opportunities to take a break from big city life,Rockaway Ventures,"Berlin, Germany",travel accommodation,€34-51m,EARLY VC,€8.5m,2023.11
Langfuse,Finto provides a monetization engine for b2b saas companies,Lightspeed Venture Partners,"Berlin, Germany",fintech,€16-24m,SEED,€4m,2023.11
GlassFlow,"GlassFlow's mission is to democratize real-time data processing, helping organizations of all sizes and Python engineers from diverse backgrounds unlock the full potential of streaming data. ",High-Tech Gründerfonds,"Berlin, Germany",hosting,€4-7m,SEED,€1.1m,2023.11
Smalt,On a mission to overcome the talent supply shortage in the trades to empower the green energy transition in Europe. ,Axel Springer,"Berlin, Germany",education education providers,€16-25m,SEED,€4.1m,2023.11
We Do Solar,A smart solar system for the balcony,PHINEO Startups,"Berlin, Germany",energy clean energy,,,,2023.11
Zinehub,Zinehub - commerce platform for content creators and modern brands,Antler,"Berlin, Germany",marketing,,,,2023.1
Augmented Robotics,Offers toy manufacturers a technology upgrade that is far above state of the art,Zero One Hundred,"Berlin, Germany",gaming,€3-4m,,,2023.1
Bruin,,Techstars,"Berlin, Germany",,,,,2023.1
Mondarella,The company develops vegan mozzarella based on almonds,,"Berlin, Germany",food innovative food,,SERIES A,€5m,2023.1
Cambrium,"NovaColl™ is the first micro-molecular & skin-identical collagen, designed specifically for highly efficacious skin care formulations",Valor Equity Partners,"Berlin, Germany",wellness beauty,€32-48m,SEED,€8m,2023.1
Likeminded,Offers online group mental health courses tailored to individual situation,IBB Ventures,"Berlin, Germany",health education providers,€21m,SEED,€1.5m,2023.1
AAZZUR,Offering intuitive cross-border banking services,Alumni Ventures,"Berlin, Poland",fintech insurance,€3-5m,,,2023.1
Empion,"Discover your ideal job with the Empion-Method, a personalized headhunting service that matches you with the right employer based on your skills, values, and personality",Redstone,"Berlin, Germany",jobs recruitment,€24-36m,SEED,€6m,2023.1
Halm,Halm takes riddle guessing for a healthy and beautiful lawn,Johannes Braith,"Berlin, Germany",fintech,€0-1m,SEED,€0.1m,2023.1
HealthCaters,Provides world-class technology and medical expertise that empowers employers to minimize health-related loss of productivity by identifying and eliminating health risks earlier,Dieter von Holtzbrinck Ventures,"Berlin, Germany",health health platform,€5-7m,SEED,€1.2m,2023.1
Tiptap,The headless editor framework for web artisans,Y Combinator,"Berlin, Germany",,€10-16m,SEED,€2.6m,2023.1
Inuru,Provides a superior consumer experience for product marketing with luminous labels and packaging,APER Ventures,"Berlin, Germany",semiconductors,€38-57m,EARLY VC,€9.5m,2023.1
Nala Earth,"Empowers companies to measure, manage and report their impact and dependency on nature - compliant with regulation",Founderful,"Berlin, Germany",legal regtech & compliance,€7-10m,SEED,€1.7m,2023.1
Circadian,Helping businesses in frontier markets adopt renewable energy,Rockstart,"Berlin, Germany",energy clean energy,€5-8m,SEED,€1.25m,2023.1
ImpactNexus,Developing SaaS solutions that accelerate the diffusion of sustainable innovation,IBB,"Berlin, Germany",enterprise software,€4-6m,SEED,€1m,2023.1
Zeedz,The Zeedz App is live!,,"Berlin, Germany",,€4-6m,SEED,€1m,2023.1
150 Minuten,"Online fitness studio and personal coaching for all, focused on pain-free and injury-free exercise",Atlantic Labs,"Berlin, Germany",fintech,€28-42m,SEED,€7m,2023.1
Bable,Making our cities smarter; a community driving the Smart City movement,Drees & Sommer,"Berlin, Germany",transportation mobility,€23-34m,EARLY VC,€5.7m,2023.1
LANCH,Building a virtual food court by creating high-quality delivery brands,HV Capital,"Berlin, Germany",food food logistics & delivery,€26-39m,EARLY VC,€6.5m,2023.1
Upvest,"Enables businesses to build great investment experiences for their end users – seamless, secure and across international borders",Bessemer Venture Partners,"Berlin, Germany",fintech banking,€210m,LATE VC,€31.76m,2023.1
Deta,Deta – A Cloud for the next Billion Ideas.,Acequia Capital,"Berlin, Germany",enterprise software,€14-22m,SEED,€3.6m,2023.1
SynthFlow AI,,Atlantic Labs,"Berlin, Germany",education,€6-9m,SEED,€1.5m,2023.1
VARM,Convenient & quick for blown-in insulation,Foundamental,"Berlin, Germany",real estate construction,€4-6m,SEED,€1m,2023.1
Soluterials,"Sustainable, innovative & high-performance aluminium Reduces EU's dependance from foreign resources",High-Tech Gründerfonds,"Stahnsdorf, Germany",engineering and manufacturing equipment,€4-6m,SEED,€1m,2023.1
Tapline,"Turns SaaS recurring revenues into fast, transparent and non dilutive growth capital",MFG Invest,"Berlin, Germany",fintech financial management solutions,€7-10m,,,2023.1
Kodex AI,The most efficient way to manage your AI systems,Techstars,"Berlin, Germany",fintech,€6-10m,SEED,€1.6m,2023.1
Purpose Green,End-to-end solution for energy renovation and long-term ESG management,Speedinvest,"Berlin, Germany",real estate energy efficiency,€13-20m,SEED,€3.3m,2023.1
Habyt,"Develops and manages beautifully designed, community driven and technologically empowered living spaces",HV Capital,"Berlin, Germany",real estate real estate services,€200m,SERIES C,€42m,2023.1
Exolaunch,Launch Services for Small Satellites,EUSPA,"Denver, United States",space,,SUPPORT PROGRAM,€0.08m,2023.1
Vestlane,Digitalising the complete workflow for investor onboarding through a platform,,"Berlin, Germany",legal financial management solutions,,,,2023.9
heyLisa.ai,Customize your videos for individual social media platforms to increase engagement and optimize peak watch time,HEARTFELT_,"Berlin, Germany",media content production,,SEED,€0.1m,2023.9
ONOMOTION,"A company offering environmentally-friendly urban logistics solutions, like the E-Cargobike ONO",,"Amsterdam, Netherlands",transportation vehicle production,€24-36m,,,2023.9
Essential,,Maven 11 Capital,"Berlin, Germany",,€21-31m,SEED,€5.2m,2023.9
MedKitDoc,Remote medical care platform that combines video-doctor-calls with connected medical devices and real-time transfer of health data,Health Wildcatters,"Berlin, Germany",health health platform,€28-42m,,,2023.9
Winqs Sports,"Manufactures running shoes, clothing and accessories with bio-based or recycled materials and offset carbon footprint",Nation 1,"Berlin, Germany",fashion waste solution,,,,2023.9
MERSOR GmbH,Designing and selling premium leather goods for women and men at contemporary prices and designed for individual personalization requirements,Faraday Venture Partners,"Berlin, Germany",fashion,€4-6m,SEED,€1m,2023.9
Mindsurance,"Mindsurance offers on-demand mental health services to employees in order to help them cope with stress, improve their sleep, and boost their self-confidence",Robin Capital,"Berlin, Germany",health health platform,€5-7m,,,2023.9
Duffle,"Offering travelers the best deals, special promotions, and premium brands from a variety of airport retailers",Avolta,"Berlin, Germany",marketing crm & sales,,,,2023.9
NOVO,"Analysis, planning and financing of energy renovation for real estate",Citizen Capital,"Berlin, Germany",real estate mortgages & lending,€4-6m,SEED,€1m,2023.9
Concular,Pioneer impact startup creating a digital ecosystem for circular construction,,"Berlin, Germany",real estate construction,€3-5m,SEED,€0.8m,2023.9
Blacklane,A global chauffeur service bringing peace of mind to travelers moving through a fast-paced world,Singapore Mobility Corporation,"Singapore, Singapore","transportation search, buy & rent",€200m,,,2023.9
Bambus,Provides a one-stop solution for real estate owners to access liquidity without having to sell their property,i5invest,"Vienna, Austria",fintech real estate services,€4-6m,SEED,€1m,2023.9
NUMA Group,A hospitality startup that combines the luxury of boutique hotels with the homelike feel of AirBnB,DN Capital,"Berlin, Germany",travel booking & search,€236-354m,SERIES C,€59m,2023.9
kyp.ai,"We go beyond traditional Process Mining, harnessing AI to generate instant insights, prioritised automation recommendations and resolved business cases to accelerate your transformation journey",Tola Capital,"Berlin, Germany",enterprise software,€75-112m,SERIES A,€18.7m,2023.9
JOKR,Global platform for instant grocery and retail delivery at a hyper-local scale,Balderton Capital,"New York City, United States",food food logistics & delivery,€800m,SERIES D,€50m,2023.9
MyThesis Academy,Offering solutions to support students on the process of writing thesis,Lanzadera,"Berlin, Germany",education learning tools and resources,,,,2023.9
PowerUs,Leading digital career platform empowering technical blue-collar workers to enhance their careers,HV Capital,"Berlin, Germany",jobs recruitment,€96-144m,SERIES B,€24m,2023.9
Plan A,"Developed the first Carbon Reduction Software which helps businesses calculate, monitor, reduce and report on their carbon footprint",HV Capital,"Berlin, Germany",energy energy efficiency,€108-162m,EARLY VC,€27m,2023.9
Kenjo,"Supporting the HR team to become a strategic partner within their company, helping people to reach their potential, and the company to truly thrive",Redalpine,"Berlin, Germany",jobs recruitment,€35-53m,SERIES A,€8.8m,2023.9
Cleverly,Online platform which provides online coaching and tutorial classes,Capnamic Ventures,"Berlin, Germany",education education providers,€18-28m,SEED,€4.6m,2023.9
Dance,"An e-bike subscription service founded with the purpose of positively impacting health, sustainability, and livable cities",Carl Pei,"Berlin, Germany",transportation mobility,€20-30m,,,2023.9
Ostrom,Energy management platform that makes green electricity easy and affordable,Union Square Ventures,"Berlin, Germany",energy energy providers,€46m,SERIES A,€7.46m,2023.9
Nuventura,"Nuventura GmbH develops renewable power grid technology to reduce greenhouse gas emissions, using a MV gas-insulated switchgear that replaces SF6 with dry air",IBB Ventures,"Berlin, Germany",energy energy efficiency,€100-150m,SERIES A,€25m,2023.9
Equintel,Equintel uses Big Data and AI to deliver ESG assessments,Tenity,"Berlin, Germany",fintech,€0-0m,SEED,€0.05m,2023.9
Alpas,Purchase requisition to supplier qualifications and tender reports,,"Berlin, Germany",marketing crm & sales,,,,2023.8
Vanatu,,,"Berlin, Germany",,,CONVERTIBLE,€0.05m,2023.8
Webme,,,"Berlin, Germany",,,,,2023.8
Truemetrics,"We help companies to understand their real-world processes through motion and position AI saving costs, time and carbon emissions by cracking down on inefficiencies",Y Combinator,"Berlin, Germany",transportation navigation & mapping,€7m,,,2023.8
Heystack,,Antler,"Berlin, Germany",,€1-1m,SEED,€0.17m,2023.8
AiMars,,Antler,"Berlin, Germany",,€1-1m,SEED,€0.17m,2023.8
3YourMind,"Offering automation software to prepare additive manufacturing part selection, ordering and production workflows for Industry 4.0",Verve Ventures,"Berlin, Germany",enterprise software,€28-42m,,,2023.8
dao,,Julian Teicke,"Berlin, Germany",real estate,€6-9m,ANGEL,€1.5m,2023.8
Lumaly,Browser extension that automatically tries out and uses all available voucher codes in the cart when shopping online,FJ Labs,"Berlin, Germany",fintech,€4-6m,,,2023.8
HOLY Energy,Energy drink for gamers,FoodLabs,"Berlin, Germany",food,,SERIES A,€10.5m,2023.8
Amphiprion,Biometric authentication technology leveraging unique individual patterns in the dynamics of eye movements,,"Berlin, Germany",security identity & access,,,,2023.8
November,Online platform for funerals,Bayerische Beamten Versicherung,"Berlin, Germany",event tech,€12-18m,,,2023.8
recoupling,Developing an app that accompanies couples in every phase of the relationship,Sebastian Johnston.,"Berlin, Germany",health,€0-1m,ANGEL,€0.1m,2023.8
Traide,Providing a scalable tariff expert,High-Tech Gründerfonds,"Berlin, Germany",fintech,€4-6m,SEED,€1m,2023.8
Blue Farm,The oat drink to mix yourself with love from Berlin,Jebsen & Jessen Group,"Berlin, Germany",food agritech,€15m,EARLY VC,€1m,2023.8
HOLY,HOLY Soft Drink Revolution offering tasty and healthy drink options with good environmental impact,FoodLabs,"Berlin, Germany",food,€42-63m,SERIES A,€10.5m,2023.8
Anytype,Distributed operating system that lets you create software without any programming skills,Balderton Capital,"Berlin, Germany",enterprise software,€54-80m,EARLY VC,€13.4m,2023.8
Finiata,"Finance platform targeting SMEs, freelancers, and the self-employed",Fasanara Capital,"Warsaw, Poland",fintech mortgages & lending,€50m,GROWTH EQUITY VC,€20m,2023.8
JKLabs,"A platform for communities to make, execute, and reward decisions",1kx,"Berlin, Germany",fintech crypto and defi,€8-12m,SEED,€2m,2023.8
Mercanis,New way of procuring services for your organization,Speedinvest,"Berlin, Germany",enterprise software,€40-60m,SEED,€10m,2023.8
SureIn,"Makes business insurance easy, transparent and hassle-free",Sequoia Capital,"Berlin, Germany",fintech insurance,€16-24m,SEED,€4m,2023.8
Deepset,Building the next enterprise search engine fueled by NLP and open-source,Balderton Capital,"Berlin, Germany",enterprise software,€120-180m,EARLY VC,€30m,2023.8
Marta,Empowering families and caregivers through technology,Capnamic Ventures,"Berlin, Germany",health health platform,€26-40m,,,2023.8
Paylane,"Take control of your logistics spent, Bring cost transparency to logistics Automate invoice-to-payment cycle, and reduce costs",Y Combinator,"Berlin, Germany",transportation,,SUPPORT PROGRAM,€0.13m,2023.7
Revideo,Developing tools that enable developers to generate videos programmatically,Y Combinator,"Berlin, Germany",media content production,€2-3m,SEED,€0.5m,2023.7
GameValues,AI Platform for Gamers,Sequoia Capital,"Berlin, Germany",gaming,€5-8m,SEED,€1.3m,2023.7
phaseinvest,Democratizes access to affordable easy to use portfolio management technology,Startup Wise Guys,"Berlin, Germany",fintech wealth management,€0-1m,,,2023.7
Addera Health,Hyper personalised AI Coach for ADHD,Merantix,"Berlin, Germany",health,,SEED,€1m,2023.7
Stocadro,"By offering innovative warehouse management software, Stocadro helps scaffolding companies track and control their inventory in a more time and resource-saving manner",EWOR,"Berlin, Germany",enterprise software,,,,2023.7
Oaks,Create a savings plan for your desired products,Atlantic Labs,"Berlin, Germany",fintech financial management solutions,,,,2023.7
Akhetonics,Creating all-optical processor,Rheingau Founders,"Berlin, Germany",semiconductors,€9-14m,EARLY VC,€2.3m,2023.7
Digital Spine,The digital backbone of smart buildings with its rocketing venture,Futury Capital,"Berlin, Germany",real estate energy efficiency,,,,2023.7
Hale Care,Your virtual clinic for female pain. ,Luca Foschini,"Berlin, Germany",health health platform,€1-2m,SEED,€0.35m,2023.7
Cycle,Changes last mile delivery and thereby shape the future of e-mobility – and reduce traffic-related CO2-emissions along the way,Founder Collective,"Berlin, Germany",transportation logistics & delivery,€45-68m,SERIES A,€11.3m,2023.7
FAB Software,,Antler,"Berlin, Germany",,€1-1m,SEED,€0.17m,2023.7
nyonic,Empowering AI-first companies with cutting-edge Foundation Models for multilingual and complex industry use cases,Lenovo Capital and Incubator Group (LCIG),"Berlin, Germany",enterprise software,€80-120m,SEED,€20m,2023.7
Vertama,We move the world of paper into the digital world!,High-Tech Gründerfonds,"Berlin, Germany",enterprise software,€4-6m,SEED,€1m,2023.7
seedtrace,"Develops a digital platform to manage, prove and communicate sustainability and supply chain information",Alpha bank,"Berlin, Germany",enterprise software,€8-12m,SEED,€2m,2023.7
weflow,"Weflow offers a tool designed to close more deals, drive process adherence, and improve forecast accuracy",Cherry Ventures,"Berlin, Germany",marketing marketing analytics,€13-19m,SEED,€3.2m,2023.7
Halitus,Developing a technology that can detect diseases by analyzing a person's breath,Angels for Health,"Berlin, Germany",health medical devices,€4-6m,SEED,€1m,2023.7
ContractHero,ContractHero | Die smarte Vertragsmanagement Software,Venista Ventures,"Berlin, Germany",fintech,€9-13m,SEED,€2.15m,2023.7
eaze,"A mobile app, helping people to sleep better based on cognitive behavioural therapy",EnjoyVenture,"Berlin, Germany",health health platform,€7-10m,SEED,€1.7m,2023.7
FINE Legal,The consumer rights platform helps consumers twice,High-Tech Gründerfonds,"Berlin, Germany",fintech,,,,2023.7
CREX Capital,,,"Berlin, Germany",,€0-1m,SEED,€0.1m,2023.7
Porous,"Porous ultrasound software solution to diagnose osteoporosis earlier, cheaper and more accurately",NLC - The Healthtech Venture Builder,"Potsdam, Germany",health medical devices,€4m,SEED,€0.25m,2023.6
PANTOhealth,Combines simulation software and IoT to deliver software-as-a-service solutions for monitoring and predictive maintenance of pantograph/catenary,EIT Urban Mobility,"Berlin, Germany",enterprise software,,,,2023.6
BeautyLove,Digital platform featuring a range of skincare and cosmetic products,Commerce and Ventures(SevenVentures),"Berlin, Germany",wellness beauty,,,,2023.6
Coffee Circle,"Coffee roasting company sets new standards for exceptional coffee quality, fair trade and social impact through innovation along the value chain",,"Berlin, Germany",food food logistics & delivery,€12-18m,,,2023.6
MANTI MANTI,"MANTI transforms children's glasses from a dusty medical product into a cool, beautiful, sustainable and functional lifestyle product that children love",Carroll-Kron Consulting,"Berlin, Germany",health medical devices,€4-6m,SEED,€1m,2023.6
Skonelabs,,Antler,"Berlin, Germany",food,€1-1m,SEED,€0.17m,2023.6
McMakler,Leading hybrid real estate agent in Germany,Frog Capital,"Berlin, Germany",real estate mortgages & lending,€400m,LATE VC,€20m,2023.6
Kursinsel,Where children explore their interests and pursue their passions,Felix Jahn,"Berlin, Germany",education,,,,2023.6
ToolTime,ToolTime is a Software-as-a-Service solution that helps craftsmen tackle all administrative tasks of their business,,"Berlin, Germany",enterprise software,€120-180m,LATE VC,€30m,2023.6
Berlin Heals Holding,Redefining heart failure therapy,,"Berlin, Germany",health medical devices,€24-36m,LATE VC,€6m,2023.6
Service4Charger,Electro-mobility startup installing private and public charging infrastructure,BP Ventures,"Berlin, Germany",energy energy storage,€40-60m,SERIES A,€10m,2023.6
Doctorflix,Re-thinking knowledge exchange and networking for doctors globally,High-Tech Gründerfonds,"Berlin, Germany",health health platform,€8-12m,SEED,€2m,2023.6
Keaz,Use WhatsApp to get to know your customers better and sell more,,"Berlin, Germany",marketing crm & sales,€2-4m,SEED,€0.6m,2023.6
Agenta AI,The open source developer-first LLMops platform,Antler,"Berlin, Germany",enterprise software,€1-1m,SEED,€0.17m,2023.6
Squake,Calculates carbon emissions on travel booking sites and logistics software via seamless API integration tool,Neosfer,"Berlin, Germany",travel mobility,€14-21m,EARLY VC,€3.5m,2023.6
Cleanhub,Protect and preserve the oceans by building an economy where plastic is too valuable to waste,Lakestar,"Berlin, Germany",energy waste solution,€28-42m,EARLY VC,€7m,2023.6
COOKO,Providing source traceability and improve the livelihood of farmers and secure agro-forestry landscapes,,"Berlin, Germany",food agritech,€3-5m,SEED,€0.8m,2023.6
Tomorrow University of Applied Sciences,Offers a new student-centric mobile-first learning platform,Redstone,"Berlin, Germany",education education providers,€40-60m,SERIES A,€10m,2023.6
beams,"Meta layer of SaaS tools to help people work better, not more",Octopus Ventures,"Berlin, Germany",enterprise software,,,,2023.6
API-Lib,"From cloud-based applications to collaboration tools, we offer tailored products designed to enhance productivity and  work processes",,"Berlin, Germany",hosting,,,,2023.6
CAYA,,HV Capital,"Berlin, Germany",hosting,,SERIES A,€6m,2023.6
Nelly,"Now with Nelly, simply digitize documents, signatures and payments in practices",Lakestar,"Berlin, Germany",health health platform,€60-90m,SERIES A,€15m,2023.6
Caya,A smarter way to work with documents,HV Capital,"Berlin, Germany",hosting,€24-36m,EARLY VC,€6m,2023.6
Wondder,Combine cutting-edge technology with the latest scientific research and a great passion for innovation,allygatr,"Berlin, Germany",education,€2-3m,SEED,€0.5m,2023.6
mama health technologies,Organizing the world's patient experiences,P101 Ventures,"Berlin, Germany",health health platform,,,,2023.6
biddz,,IBB Ventures,"Berlin, Germany",music,€18-26m,SEED,€4.4m,2023.6
Wunderpen,,Schürfeld Group,"Berlin, Germany",,€4-6m,SEED,€1m,2023.6
Delphai,A self-service platform for insights on the innovations and companies driving change across industries,Newion,"Berlin, Germany",enterprise software,€15-23m,EARLY VC,€3.8m,2023.6
Payrails,The Operating System for Payments and Financial Services,HV Capital,"Berlin, Germany",fintech payments,€58-86m,SEED,€14.4m,2023.6
Bookingkit,Europe's leading booking and reservation management software for providers of tours and activities,Müller Medien,"Berlin, Germany",travel travel analytics & software,€25m,LATE VC,€1m,2023.6
NAO,A co-investment platform that aims to provide everyone access to exclusive investment opportunities such as private equity and venture capital,Jakob Schreyer,"Berlin, Germany",fintech wealth management,€6-10m,SEED,€1.6m,2023.6
Spectrm,Conversational marketing platform that helps brands to sell more on the biggest messaging platforms with marketing chatbots,BDMI,"New York City, United States",marketing crm & sales,€26-39m,SERIES B,€6.5m,2023.6
GetYourGuide,Booking platform for incredible travel experiences,KKR,"Zurich, Switzerland",travel online travel agency,€2000m,SERIES F,€85m,2023.6
