name,tagline,investors_name,address,industries,valuation,last_round,last_round_amount,date
valupa,"Valupa developes sustainable circular fashion supplies like buckles, buttons, rings and all kind of accessories localy, while using 3D printing for fast prototyping and developing bio-material from food waste to proof its sustainable action. valupa makes responsable mass customization and local production easy and helps bringing fashion producer back to Europe",,"Potsdam, Germany",fashion,€4m,ANGEL,€0.5m,2023.6
twinwin,,,"Berlin, Germany",,,SEED,€0.65m,2023.5
CNDO,,,"Berlin, Germany",,,SEED,€1m,2023.5
Terramate,"Remote-First DevOps as a Service Consultancy for AWS, GCP and Azure",Fly Ventures,"Berlin, Germany",security cloud & infrastructure,,,,2023.5
eClear,A one-stop shop payment service provider that allows eCommerce businesses to do business across Europe,,"Berlin, Germany",fintech payments,€60-90m,SERIES B,€6.5m,2023.5
Affilimate,Affilimate helps publishers unlock fast and systematic affiliate growth through optimization tools and content insights tailored for commerce content,,"Berlin, Germany",enterprise software,,,,2023.5
Typst,"We are creating Typst to lift typesetting into the 21st century with a fast, easy to learn, collaborative platform that natively runs in your browser",EWOR,"Berlin, Germany",education,,,,2023.5
Waanda,B2B wholesale marketplace to connect African SME artisans with European retailers,Fast Track Malmö,"Berlin, Germany",fashion logistics & delivery,€1-1m,,,2023.5
LEVY Health,Couples with personalized fertility plans and guidance on how to become pregnant,Atlantic Labs,"Berlin, Germany",health health platform,€10-15m,SEED,€0.85m,2023.5
Pnkfrg studios,"Is creating a new social gaming experience for Gen Z, based on mash-ups of entertainment formats and driven by digital ownership and micro rewarding, play-to-pay, end-to-end",StillMark,"Berlin, Germany",gaming crypto and defi,€12-18m,,,2023.5
Converta,Pipeline Review Platform for Sales Teams,Antler,"Berlin, Germany",,€1-1m,SEED,€0.17m,2023.5
DUKE,The first entirely digital and seamless car rental experience,Baloise Group,"Berlin, Germany",travel mobility,,,,2023.5
ArtistConnect UG (haftungsbeschränkt),Online marketplace for music,,"Potsdam, Germany",music,,,,2023.5
appful,Enables content publishers and companies to bring their content to the App Store in the form of a modern and fast mobile apps,INTEGRA,"Falkensee, Germany",marketing,,,,2023.5
Bildungsurlauber.de,Educational vacation course,,"Berlin, Germany",education,€1-1m,ANGEL,€0.15m,2023.5
SellerX,Europe’s leading aggregator of e-commerce businesses,83North,"Berlin, Germany",marketing ecommerce solutions,€1000m,LATE VC,€64m,2023.5
Glassdollar,Platform for leading corporations that want to systematically purchase startup solutions,High-Tech Gründerfonds,"Berlin, Germany",enterprise software,€8-12m,SEED,€2m,2023.5
Wonnda,"Wonnda is the OS to source, launch & scale consumer products",IBB Ventures,"Berlin, Germany",,€4-6m,SEED,€1m,2023.5
x-cardiac,AI-driven software to predict complications after heart surgery,IBB Ventures,"Berlin, Germany",health health platform,,,,2023.5
COCOLI,Contributes to a more sustainable world by promoting environmental protection and circular economy through giving furniture a second life,IBB Ventures,"Berlin, Germany",home living,€12-18m,SEED,€3m,2023.5
ZERO44,Providing digital solutions for a carbon-free maritime industry,Atlantic Labs,"Berlin, Germany",energy clean energy,€10-15m,SEED,€2.5m,2023.5
LabDAO,,Balaji Srinivasan,"Berlin, Germany",health,€14-22m,SEED,€3.6m,2023.5
DR. VIVIEN KARL,"Disrupting the industry of intimate care products with natural, science-based and aesthetic products for intimate well-being",Dieter von Holtzbrinck Ventures,"Berlin, Germany",wellness beauty,€6-9m,SEED,€1.5m,2023.5
Patient21,Healthtech company that aims to empower patients and doctors to make better decisions by leveraging data,Piton Capital,"Berlin, Germany",health health platform,€280-420m,SERIES C,€70m,2023.5
Reflex Aerospace,The first venture backed satellite manufacturer in Europe,Bayern Kapital,"Munich, Germany",space,€35m,SEED,€1.75m,2023.5
Exazyme,"A powerful AI-based app for protein design, delivering superior outcomes with fewer lab experiments, and handling multiple targets for properties",Atlantic Labs,"Berlin, Germany",health biotechnology,€8-12m,SEED,€2m,2023.5
Nia Health,Medical software platform in the field of personalized medicine,High-Tech Gründerfonds,"Berlin, Germany",health health platform,€14-21m,SEED,€3.5m,2023.5
Blocktorch,"A multi-chain observability platform for log, metrics and traces in any smart contract",Speedinvest,"Berlin, Germany",fintech crypto and defi,€17-25m,SEED,€4.2m,2023.5
Clue App,Cycle-tracking app that empowers women to track their fertility easily and accurately,Crowdcube,"Berlin, Germany",health health platform,€60m,LATE VC,€8.06m,2023.5
NetBird,A cybersecurity company that is building an open-source platform to simplify the deployment of Virtual Private Networks,Nauta Capital,"Berlin, Germany",security cloud & infrastructure,€4-7m,EARLY VC,€1.1m,2023.5
tastyurban,We are here to elevate delivery food,Earlybird Venture Capital,"Berlin, Germany",food,€6-9m,SEED,€1.5m,2023.5
Sykell,Zero Waste packaging for the food industry,REWE Group,"Berlin, Germany",food in-store retail & restaurant tech,€18-27m,EARLY VC,€4.5m,2023.5
SPREAD,Engineering Intelligence Network,HV Capital,"Berlin, Germany",enterprise software,€64-96m,SERIES A,€16m,2023.5
baupal,Allow homeowners to make the best decisions regarding the energy efficiency of their home,,"Berlin, Germany",real estate real estate services,,,,2023.4
Biotx.ai,Delivers predictive biomarkers as a basis for decision support in precision medicine,Oxford Angel Fund,"Berlin, Germany",health health platform,,,,2023.4
Careforward,We believe in a future in healthcare where people can realize themselves and develop their potential,SMS Japan,"Berlin, Germany",health education providers,,,,2023.4
Jobreel,,Antler,"Berlin, Germany",fintech,€1-1m,SEED,€0.17m,2023.4
Swobbee,"""The"" gas station for electric micromobility - Battery-as-a-Service & Charging-as-a-Service for 20+ vehicle types - including software plattform & App",SpeedUp Energy Innovation,"Berlin, Germany",energy energy providers,€30m,SERIES A,€1.6m,2023.4
Dearemployee,A corporate health platform that supports companies in creating healthy and motivating working conditions for their employees,High-Tech Gründerfonds,"Berlin, Germany",health health platform,,,,2023.4
Artenglück,Sustainable long-term habitats and food resources for pollinators and other animals,RootCamp - A SpinLab Incubator,"Berlin, Germany",service provider,,,,2023.4
Apriwell,"Apriwell is transforming healthcare through a human-centered, comprehensive experience, integrating exclusive medication and digital therapy support for individuals with chronic needs in a modernized approach",ORTHO INNOVATIONS,"Berlin, Germany",health health platform,,,,2023.4
Rebel Tech,,Founders Factory,"Berlin, Germany",semiconductors,€6-9m,SEED,€1.5m,2023.4
Viva Maia,,,"Berlin, Germany",wellness beauty,€1-1m,ANGEL,€0.15m,2023.4
Nosh Biofoods,We unlock the unfulfilled promise of alternative proteins,Earlybird Venture Capital,"Berlin, Germany",food innovative food,€13-19m,SEED,€3.2m,2023.4
KoRo,Omni-occasion better-for-you food brand,HV Capital,"Berlin, Germany",food innovative food,€250m,SERIES B,€20m,2023.4
Ariceum Therapeutics,Developing novel drugs for systemic targeted radiotherapy (STR),Earlybird Venture Capital,"Berlin, Germany",health pharmaceutical,€125m,SERIES A,€22.75m,2023.4
Gems,"Helps users organize and access information by creating a ""knowledge base"" that connects to various data sources and provides context for searches",,"Berlin, Germany",media,€8-12m,SEED,€2m,2023.4
Prestatech,Digital credit factory that has developed an innovative underwriting platform for banks and financial institutions in Europe,CDP Venture Capital,"Berlin, Germany",fintech banking,€25m,EARLY VC,€4m,2023.4
Enote,A music technology startup using artificial intelligence to bring the world’s sheet music into a fully digital format,Dieter von Holtzbrinck Ventures,"Berlin, Germany",music,€40-60m,SERIES A,€10m,2023.4
Innential,Data-driven personalized learning,Tar Heel Capital Pathfinder,"Berlin, Germany",education,€4-6m,SEED,€1m,2023.4
UnitPlus,Builds a bridge between the payment and the investment worlds and aims to make the way people sustainably invest in the capital market frictionless,Benedikt Franke,"Berlin, Germany",fintech payments,€4-6m,SEED,€1m,2023.4
METR,The IoT platform that enables connected use-cases to support efficient real estate management and the housing industry,Next Big Thing AG,"Berlin, Germany",real estate real estate software,€24-36m,SERIES A,€6m,2023.4
Nyris,Nyris is a visual search platform that gives people a more natural way to find what they are looking for. ,SEK Ventures,"Berlin, Germany",enterprise software,€40-60m,EARLY VC,€10m,2023.4
MakerVerse,,Zeiss,"Berlin, Germany",,€38-56m,SERIES A,€9.4m,2023.4
Carbon Instead,Reduces the resource footprint of industrial materials using bioeconomy principles,EIT RawMaterials,"Berlin, Germany",energy waste solution,,,,2023.3
Feather,We automatically manage your insurances for you.,Y Combinator,"Berlin, Germany",fintech insurance,€15-23m,,,2023.3
Advosense,Advosense: Developing intelligent elderly care solutions,AgeTech Collaborative from AARP,"Berlin, Germany",health medical devices,€2-3m,,,2023.3
Dunbar,,Atlantic Labs,"Berlin, Germany",,,,,2023.3
Greater Moment,Skills Intelligence Platform to power skills-based organisations,,"Berlin, Germany",education,,,,2023.3
heyroom,WG’s & MitbewohnerIn finden� Have a room to rent? Looking for a WG? Find roommates who share your vibe ✨,,"Berlin, Germany","real estate search, buy & rent",€1-2m,ANGEL,€0.25m,2023.3
Lynty,Interactive products with AI Customer Service,,"Berlin, Germany",enterprise software,,,,2023.3
CYKERO,Franco-German company specializing in the sale of high-quality used and refurbished electronics,,"Maisons-Laffitte, France",energy clean energy,,,,2023.3
Amply,"Amply simplifies financial management for small and medium businesses, allowing them to manage their full finance stack from one centralized location",Antler,"Berlin, Germany",fintech,€1-1m,SEED,€0.17m,2023.3
Keyward,"Deeptech company with data scientists and engineers specializing in CAE & Generative AI, advancing engineering design optimization",,"Berlin, Germany",enterprise software,,SEED,€0.03m,2023.3
Ninebarc,Digital estate service that maps digital footprint,Isartal Ventures,"Berlin, Germany",security insurance,,,,2023.3
Mauve,Mauve is the first decentralized exchange with the compliance of traditional finance,Balderton Capital,"Berlin, Germany",fintech crypto and defi,€60-90m,EARLY VC,€15m,2023.3
Saiz,"Using Data & AI, developer of a sizing solution that offers accurate size recommendations",Spread Ventures,"Berlin, Germany",fashion,,,,2023.3
Medigo,Global access to quality healthcare,East Ventures,"Berlin, Germany",health health platform,€8-12m,SERIES A,€2m,2023.3
liftos.io,All the tools built-in to organize your work,Pitchdrive,"Berlin, Germany",jobs recruitment,€4-6m,SEED,€1m,2023.3
Flagship Founders,Flagship Founders | We build Companies in Shipping Industry,Auerbach Schifffahrt,"Berlin, Germany",transportation,€14-21m,SEED,€3.5m,2023.3
LI.FI,Provides cross-chain bridge & DEX aggregation to power next-gen DeFi projects with superior UX,Circle,"Berlin, Germany",enterprise software,€70-105m,SERIES A,€17.5m,2023.3
NAVIT,World’s first app that rewards your mobility,Johannes Reck,"Berlin, Germany",transportation mobility,€14-21m,SEED,€3.5m,2023.3
Epigenics,,,"Berlin, Germany",food,,,,2023.3
Coqui,A startup providing open speech tech for everyone,ScaleX Ventures,"Berlin, Germany",media content production,€13-20m,SEED,€3.3m,2023.3
Biosavety (oji),Oji active air technology continuously keeps buildings in the air and on surfaces free of pathogens,,"Nauen, Germany",real estate construction,,,,2023.3
Atlas Metrics,"Develops technology to collect, manage, and report environmental, social, and governance (ESG) data in compliance with the world's leading impact standards",Global Founders Capital,"Berlin, Germany",enterprise software,€21-31m,SEED,€5.2m,2023.3
EROCKIT,EROCKIT is a pedal operated electric motorcycle,Motovolt,"Hennigsdorf, Germany",energy vehicle production,,,,2023.3
Raisin,Pan-European marketplace for savings,Goldman Sachs,"Berlin, Germany",fintech wealth management,€1000m,LATE VC,€60m,2023.3
Amperecloud,Helps to discover full energy potential with the smart tech solution and intuitive SaaS monitoring,Point Nine,"Berlin, Germany",energy clean energy,€20-30m,SERIES A,€5m,2023.3
NEX,,Heatchy Investments,"Berlin, Germany",transportation,€14-21m,SEED,€3.5m,2023.3
Mainteny,On a mission to empower small and medium-sized facility management companies with the right technology tools,Paul Günther,"Berlin, Norway",enterprise software,€11-16m,SEED,€2.7m,2023.3
Chaineducation Labs,,,"Berlin, Germany",education,€0-1m,SEED,€0.1m,2023.3
THE CLIMATE CHOICE,Software platform for decarbonizing companies and their supply chains,WestTech Ventures,"Berlin, Germany",enterprise software,€8-12m,SEED,€2m,2023.3
Medwing,Recruiting startup focused on hiring temporary and permanent staff in healthcare facilities,Northzone,"Berlin, Germany",health health platform,€176-264m,SERIES C,€44m,2023.3
Violet,Evolves trust compliance and identity Infrastructure for DeFi,Balderton Capital,"Berlin, Germany",security identity & access,€60-90m,EARLY VC,€15m,2023.3
Home Meal,,Longfield Invest,"Berlin, Germany",food,€4-6m,SEED,€1m,2023.3
Hermone,,,"Berlin, Germany",,€4-6m,SEED,€1m,2023.3
Wholey,,Feast Ventures,"Berlin, Germany",food,€24-36m,EARLY VC,€6m,2023.3
Secfix,Secfix | Automate ISO 27001 compliance fast and easy,Neosfer,"Berlin, Germany",enterprise software,€15-23m,SEED,€3.8m,2023.3
Polyteia,Smart governance for cities and towns,HV Capital,"Berlin, Germany",enterprise software,€20-30m,SEED,€5m,2023.3
TrustSpace,,,"Berlin, Germany",,,,,2023.2
Mavuno Technologies,Agri & FinTech startup empowering African smallholder farmers with satellite imagery and machine learning,SAIS,"Berlin, Germany",food agritech,€8m,,,2023.2
PikaDo,,500 Global,"Berlin, Germany",kids,€0-0m,,,2023.2
getpantom,Internal tool automating the investor research process,APX Ventures,"Berlin, Germany",enterprise software,,,,2023.2
GAIA Technologies GmbH,Everything you need to manage legal topics,Expedite Ventures,"Berlin, Germany",legal legal matter management,,,,2023.2
ANYMOVE,Electric Car Rental,Lakeside Beteiligungs AG,"Berlin, Germany",travel mobility,,,,2023.2
Delta,Build integrations 10x faster with just one codebase,,"Berlin, Germany",fintech,,,,2023.2
Bento,Facilitates the connection between ambitious creators and supports them in starting amazing new projects and companies,Gaingels,"Zurich, Switzerland",media,€6-10m,SEED,€1.6m,2023.2
Flowshot.ai,"Use AI in Google Sheets, look up formulas and create AI-generated images — and when you're ready, train custom AI models for your specific tasks",,"Berlin, Germany",enterprise software,,,,2023.2
Fanzone Media,An app with digital sports collectibles on the blockchain,Outlier Ventures,"Berlin, Germany",fintech crypto and defi,,,,2023.2
Green Fusion,,BitStone Capital,"Berlin, Germany",,€11-16m,SEED,€2.7m,2023.2
Granola Studios,Creating friendly and playful interactive environments and making them stunningly beautiful and entertaining by combining video game development and real-time communication technologies to create a completely new real-time interactive entertainment technology,Outlier Ventures,"Berlin, Germany",gaming,,,,2023.2
CrewLinQ,Efficient resource allocation and reducing administration in the healthcare industry,,"Kleinmachnow, Germany",,,,,2023.2
comic30,,Tezos,"Berlin, Germany",,,,,2023.2
TIER,Offering easily-accessible and affordable mobility services going beyond reducing emissions linked to charging and include production,,"Berlin, Germany",transportation mobility,€2000m,,,2023.2
Revive,,Startupbootcamp,"Berlin, Germany",,€0-0m,SEED,€0.02m,2023.2
eduBITES GmbH,E-Learning startup focussed on reshaping education for the modern world,Redstone,"Berlin, Germany",education education providers,€8-13m,SEED,€2.1m,2023.2
konfetti,Discover top courses and workshops,Atomico,"Berlin, Germany",education,€8-12m,SEED,€2m,2023.2
Choco,Provides a digital platform connecting restaurants and their suppliers in order to optimize the food supply chain,Bessemer Venture Partners,"Berlin, Germany",food in-store retail & restaurant tech,€1200m,LATE VC,€25m,2023.2
Xolo,3D printing firm that offers a volumetric printing solution to various industries,HZG Group,"Berlin, Germany",engineering and manufacturing equipment,€32-48m,SERIES A,€8m,2023.2
Spoke.ai,Spoke.ai cuts through workplace noise with powerful AI that prioritizes and summarizes across your tools �,IBB,"Berlin, Germany",enterprise software,€8-12m,SEED,€2m,2023.2
SPRK.global,"As industry partner, we make food suppliers along the supply chain food-waste-free, impact approach",Brigitte Mohn,"Berlin, Germany",food agritech,€24-36m,ANGEL,€6m,2023.2
Nefta,"Provides an end-to-end platform for everything needed to build, launch and operate high-quality web3 games",Picus Capital,"Xanten, Germany",gaming esports,€32m,SEED,€5m,2023.2
Kern AI,Enables companies to transform natural language processing (NLP) into a core strength through a data-centric approach,Seedcamp,"Eichwalde, Germany",enterprise software,€11-16m,SEED,€2.7m,2023.2
Knowunity,Europe's fastest growing platform for students aiming to build the global platform for every pupil around the world,Project A,"Berlin, Germany",education learning tools and resources,€50m,SERIES A,€9m,2023.2
Smart Steel Technologies,Tackling the last efficiency frontier in steel manufacturing through Artificial Intelligence,Heraeus,"Berlin, Germany",enterprise software,€8-13m,,,2023.2
Careloop,Online recruiting platform for foreign nurses that turns the application process upside down,WestTech Ventures,"Berlin, Germany",health health platform,€8-12m,SEED,€2m,2023.2
Giant Monkey Software Engineering,"Creating digital solutions for the culture, leisure, and industry sectors",TrekkSoft,"Berlin, Germany",enterprise software,,,,2023.2
Beazy,B2B Marketplace for content production,,"Berlin, Germany",media content production,€4-6m,SEED,€1m,2023.2
Degura,Provides company HR departments with a digital-led pensions programme to manage employer contributions to employee pension endowments,b2venture,"Berlin, Germany",fintech wealth management,€9-13m,SEED,€2.2m,2023.2
Moonfare,Technology-enabled platform providing smarter access to private market investments,7GC,"Eastern District, Hong Kong",fintech wealth management,€625m,SERIES C,€15m,2023.2
Brighter AI,Visual reconstruction as a service based on state-of-the-art deep learning to protect every identity in public,Deutsche Bahn Digital Ventures,"Berlin, Germany",security cloud & infrastructure,,,,2023.2
Bayes Esports,"The go-to address for the Esports Data Industry - for data right holders, consumers, and service providers alike",P.A.C. Capital,"Berlin, Germany",gaming esports,€30m,SERIES A,€3m,2023.2
Memodio,Creating a loading screen for websites,Alexander Puschilov,"Potsdam, Germany",,€2-2m,SEED,€0.4m,2023.2
Recovery,Join Recovery Cat on the Way to truly Patient-centered Mental Health Care,IBB Ventures,"Berlin, Germany",fintech,,,,2023.2
Kopernikus Automotive,"Leading developer in automated valet parking technology, which describes an autonomous driving solution",,"Leipzig, Germany",transportation mobility,€12-18m,SEED,€3m,2023.2
Cassandra,Cassandra Cassandra uses AI to predict what to spend on each channel to maximize your ROI,,"Berlin, Germany",marketing,,SEED,€0.3m,2023.1
Home of IoT Sports,SCIPIO allows you to rent and book unique IoT Sports Experiences & Equipment,Maropost Venture,"Berlin, Germany",travel,,,,2023.1
CleoAI,,,"Berlin, Germany",enterprise software,,,,2023.1
PropellerHeads,"Eliminating on-chain trading costs through innovative intent-based trading systems, focusing on research, engineering, and reliable infrastructure for decentralized networks",Circle,"Berlin, Germany",,,,,2023.1
zebrapass,Brings notifications to Web 3,Bosch Startup Harbour,"Berlin, Germany",enterprise software,,,,2023.1
Djuce,"Collaborating with a team of Michelin-starred sommeliers, we hand select stunning wines and neatly deliver them in bold cans",Pente Capital,"Berlin, Germany",,,,,2023.1
Zoop City,,EIT Urban Mobility,"Berlin, Germany",,,,,2023.1
Urban Monkeys,Personalized travel experiences & sustainable sightseeing,EIT Urban Mobility,"Berlin, Germany",travel content production,,,,2023.1
Skycharge,"Skycharge builds and operates a network of cross-platform drone charging stations. Through our solution, enterprises gain the flexibility to deploy any current and future drone model for the remote inspections of their assets. Our solution is future-proof, mitigates risks, streamlines operations, and minimizes costs. We are the strongest drone chrging brand on the market",EIT Urban Mobility,"Berlin, Germany",energy,,,,2023.1
Share,Allows consumers to donate one product for every product purchased,EIT Urban Mobility,"Berlin, Germany",food kitchen & cooking tech,,,,2023.1
ROADIA,"Develops flexible, future-oriented measuring devices for the traffic safety of today and tomorrow",EIT Urban Mobility,"Berlin, Germany",transportation,,,,2023.1
Bidi Charge,Demand-driven investment platform for public & semi-public charging points,EIT Urban Mobility,"Berlin, Germany",energy mobility,,,,2023.1
carbmee,Enterprise Carbon Management leveraging value chain data to improve carbon transparency and reduce corporate emissions,EIT Urban Mobility,"Berlin, Germany",enterprise software,,,,2023.1
Boréal Bikes Incorporated,"Designs and manufactures connected bike tech such as the smrtGRiPS, the World's First Connected Bike Grips",EIT Urban Mobility,"Berlin, Germany",sports mobility,,,,2023.1
ChainPatrol,Protect your Web3 Community with Real-Time Security,WAGMI Ventures,"Berlin, Germany",security,,,,2023.1
Linqe,Empowering consumer-driven businesses to accumulate more 5-star reviews while avoiding negative feedback,,"Berlin, Germany",marketing crm & sales,,,,2023.1
jooli,A video shopping app that offers retailers individual advice,,"Berlin, Germany",media,€5-7m,SEED,€1.2m,2023.1
gen:m,Mental training platform,,"Berlin, Germany",health,,,,2023.1
Theblood,The smart period blood test,RoX Health,"Berlin, Germany",health biotechnology,€4-6m,SEED,€1m,2023.1
Maya Climate,Accelerating investments in Nature-based Solutions,High-Tech Gründerfonds,"Berlin, Germany",fintech wealth management,€5-7m,SEED,€1.2m,2023.1
Startup-Insider,"The most important news, trends and investments from the German startup scene",Earlybird Venture Capital,"Berlin, Germany",media content production,€4-6m,SEED,€1m,2023.1
Brandhouse Berlin,,Klaas Heufer-Umlauf,"Berlin, Germany",fashion apparel,,,,2023.1
Baobab,Protect your business against cyber attacks,Augmentum Fintech,"Berlin, Germany",security insurance,€12-18m,EARLY VC,€3m,2023.1
Senken,"We provide a gateway between increasing voluntary climate pledges/investments and climate projects, facilitated with the highest transparency by blockchain technology",Obvious Ventures,"Berlin, Germany",fintech,€30-45m,EARLY VC,€7.5m,2023.1
XbyX,Digital platform changing the world of midlife female health with solutions that help women to go through menopause with more serenity and less symptoms,Econa,"Berlin, Germany",wellness beauty innovative food,€4-6m,SEED,€1m,2023.1
Ostmost,,Wiwin,"Berlin, Germany",food,€6-9m,SEED,€1.5m,2023.1
ATLAS medical technologies(Formerly Known As Amedo),Developing a new kind of technology platform based on RFID transponders,Ancora Finance Group,"Cottbus, Germany",media content production,€10-14m,SERIES A,€2.4m,2023.1
Kidling,100% GDPR compliant with seamless integrations & interfaces with existing Kita systems,,"Berlin, Germany",fintech,€0-1m,SEED,€0.1m,2023.1
MindAhead,A therapy app designed specifically for people with mild cognitive impairment and mild dementia,CDP Venture Capital,"Berlin, Germany",health health platform,€2-3m,SEED,€0.5m,2023.1
Honeysales,Making sales prospecting easier for companies,Airbridge Equity Partners,"Berlin, Germany",enterprise software,€10-15m,SEED,€2.5m,2023.1
Carbon One,Ultra-efficient catalysis to mass-produce green methanol — enabling the shipping and chemical industry to save gigatons of CO2,Planet A Ventures,"Berlin, Germany",energy,€12-18m,EARLY VC,€3m,2023.1
Mondu,Offers B2B marketplaces and merchants a flexible payment method with net terms,Valar Ventures,"Berlin, Germany",fintech financial management solutions,€215m,SERIES A,€13m,2023.1
Project Eaden,Engages in the development and licensing of technologies for the production of sustainable food and meat alternatives,Creandum,"Berlin, Germany",food innovative food,€40m,SEED,€2.05m,2023.1
Home Power Solutions,"Home Power Solutions is the first company worldwide offering a commercially available integrated storage system for year-round energy supply, providing scalable storage for single family homes",,"Berlin, Germany",energy clean energy,€88-132m,LATE VC,€22m,2023.1
Vimcar,Clever tech solution to manage car fleets,Battery Ventures,"Berlin, Germany",fintech logistics & delivery,€135m,,,2023.1
